code,start_date,industry_code,update_date,l1_code,l2_code
000001,1991-04-03 00:00:00,440101,2015-10-27 15:29:00,440000,440100
000001,2014-02-21 00:00:00,480101,2024-09-27 09:08:00,480000,480100
000001,2021-07-30 00:00:00,480301,2025-12-15 16:33:00,480000,480300
000002,1991-01-29 00:00:00,430101,2015-10-27 15:29:00,430000,430100
000003,1991-04-14 00:00:00,510101,2015-10-27 15:28:00,510000,510100
000004,1990-01-01 00:00:00,420301,2024-09-27 09:14:00,420000,420300
000004,2001-09-01 00:00:00,370301,2015-10-27 15:28:00,370000,370300
000004,2007-07-02 00:00:00,430101,2015-10-27 15:28:00,430000,430100
000004,2009-01-01 00:00:00,370301,2015-10-27 15:28:00,370000,370300
000004,2019-07-24 00:00:00,370102,2020-12-04 14:32:00,370000,370100
000004,2021-06-11 00:00:00,710202,2021-06-11 15:43:00,710000,710200
000004,2021-07-30 00:00:00,710402,2021-07-31 16:18:00,710000,710400
000005,1990-12-10 00:00:00,430101,2015-10-27 15:29:00,430000,430100
000005,2017-06-29 00:00:00,410401,2019-08-09 15:38:00,410000,410400
000005,2021-07-30 00:00:00,760104,2022-10-11 14:51:00,760000,760100
000006,1992-04-27 00:00:00,430101,2015-10-27 15:29:00,430000,430100
000006,2015-10-01 00:00:00,210202,2016-03-03 15:37:00,210000,210200
000006,2017-06-29 00:00:00,430101,2020-12-16 15:10:00,430000,430100
000007,1992-04-13 00:00:00,330202,2015-10-27 15:29:00,330000,330200
000007,2006-09-01 00:00:00,430101,2015-10-27 15:29:00,430000,430100
000007,2009-06-01 00:00:00,460201,2015-10-27 15:29:00,460000,460200
000007,2012-10-08 00:00:00,510101,2015-10-27 15:29:00,510000,510100
000007,2013-07-01 00:00:00,240106,2015-10-27 15:29:00,240000,240100
000007,2014-02-21 00:00:00,240504,2024-09-27 09:16:00,240000,240500
000007,2014-07-01 00:00:00,460401,2015-10-27 15:29:00,460000,460400
000007,2017-06-29 00:00:00,510101,2018-06-20 15:06:00,510000,510100
000007,2019-07-24 00:00:00,450501,2019-08-09 15:40:00,450000,450500
000007,2021-07-30 00:00:00,450304,2021-07-31 16:18:00,450000,450300
000008,1992-05-07 00:00:00,510101,2015-10-27 15:29:00,510000,510100
000008,2013-01-01 00:00:00,460201,2015-10-27 15:29:00,460000,460200
000008,2015-07-01 00:00:00,640501,2015-10-27 15:29:00,640000,640500
000009,1991-06-25 00:00:00,430101,2015-10-27 15:29:00,430000,430100
000009,2013-01-01 00:00:00,510101,2015-10-27 15:29:00,510000,510100
